审计ID,模块,业务域,变更类型,迁移前路径,迁移后路径,Git状态,新增行,删除行,规范化代码相似度,依赖替换/Import变化,Android行为审计,平台边界,序列化/数据库影响,静态证据,风险,建议,验证状态,人工结论
CMP-0093,app,备份同步与归档,原路径修改,app/src/main/java/me/rerere/rikkahub/data/sync/webdav/WebDavSync.kt,app/src/main/java/me/rerere/rikkahub/data/sync/webdav/WebDavSync.kt,M,176,174,66%,Android/SLF4J→Kermit；java.time→Kotlin time/datetime；java ZIP→共享 ZipArchive,Android 平台实现发生内容变化；规范化代码相似度 66%,androidAppMain,序列化契约、时间表示、JSON/DTO,git=M; blob 32ae011bcbd8→7c3fdfe42b70; sha256 bccef7215743→827f69935f75,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0094,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/di/AppModule.kt,app/src/main/java/me/rerere/rikkahub/di/AppModule.kt,M,111,16,59%,"imports: me.rerere.rikkahub → android.content.Context,android.content.pm,android.os.Build,me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 59%,androidAppMain,时间表示、JSON/DTO,git=M; blob a28c2f209355→133a9112c8e2; sha256 43102ab3cbc6→d6d4cf2fa80c,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0095,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/di/DataSourceModule.kt,app/src/main/java/me/rerere/rikkahub/di/DataSourceModule.kt,M,114,90,59%,Android/SLF4J→Kermit；OkHttp业务API→Ktor；Room2→Room3,Android 平台实现发生内容变化；规范化代码相似度 59%,androidAppMain,数据库/迁移、DataStore兼容、JSON/DTO,git=M; blob ac805ce06a50→9f02a78346b8; sha256 02309a6e3a52→cab72f28efc2,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0096,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/di/RepositoryModule.kt,app/src/main/java/me/rerere/rikkahub/di/RepositoryModule.kt,M,69,2,74%,imports: — → me.rerere.rikkahub,Android 平台实现发生内容变化；规范化代码相似度 74%,androidAppMain,无直接持久化标记,git=M; blob 0d499fc30bed→2fb60d705a90; sha256 063a8aaf56a9→10e1aad53b48,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0097,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/di/ViewModelModule.kt,app/src/main/java/me/rerere/rikkahub/di/ViewModelModule.kt,M,8,6,88%,imports: — → me.rerere.rikkahub,Android 平台实现发生内容变化；规范化代码相似度 88%,androidAppMain,无直接持久化标记,git=M; blob 87df6ca72d69→9bff7b69f595; sha256 186fc9e4fc4c→26511df06d0f,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0098,app,通用业务,移动并修改（Git 20%）,app/src/main/java/me/rerere/rikkahub/data/ai/mcp/McpOAuthCallback.kt,app/src/main/java/me/rerere/rikkahub/platform/AndroidExternalUriOpener.kt,R020,14,11,48%,imports: — → android.app.Activity,Android 平台实现发生内容变化；规范化代码相似度 48%,androidAppMain,无直接持久化标记,git=R020; blob 432560f539a6→d829eb8b10a5; sha256 506a9ead1976→fd8c241a6b38,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0099,app,通用业务,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/platform/AndroidFirebaseMonitoring.kt,A,29,0,—,"imports: — → android.os.Bundle,com.google.firebase",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→20c7c7046bfd; sha256 —→0d92d08c1640,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0100,app,MCP与OAuth,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/platform/AndroidOAuthCallbackSession.kt,A,80,0,—,"imports: — → kotlinx.coroutines.CompletableDeferred,kotlinx.coroutines.Dispatchers,kotlinx.coroutines.Job,kotlinx.coroutines.channels",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→25c8f6810aff; sha256 —→4bcd065daac5,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0101,app,通用业务,移动并修改（Git 25%）,app/src/main/java/me/rerere/rikkahub/service/ChatNotificationManager.kt,app/src/main/java/me/rerere/rikkahub/service/AndroidChatNotificationPresenter.kt,R025,44,141,39%,"imports: android.os.SystemClock,androidx.lifecycle.Lifecycle,androidx.lifecycle.LifecycleEventObserver,androidx.lifecycle.ProcessLifecycleOwner → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 39%,androidAppMain,无直接持久化标记,git=R025; blob 21239057aadb→417a0c1a3058; sha256 a1cb4de1be00→6c392821c6ac,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0102,app,文件与图片,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/service/AndroidImageGenerationRuntime.kt,A,258,0,—,"imports: — → android.content.Context,android.graphics.Bitmap,android.graphics.BitmapFactory,androidx.paging.Pager",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→78fabc597691; sha256 —→b023116983ff,高,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待迁移前后行为验证,待审核
CMP-0103,app,通用业务,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/service/AndroidTranslationRuntime.kt,A,31,0,—,"imports: — → kotlinx.coroutines.flow,me.rerere.rikkahub",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→fcbd419ad51e; sha256 —→67d9f158f347,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0104,app,聊天,原路径修改,app/src/main/java/me/rerere/rikkahub/service/ChatService.kt,app/src/main/java/me/rerere/rikkahub/service/ChatService.kt,M,71,69,93%,Android/SLF4J→Kermit；java.time→Kotlin time/datetime,Android 平台实现发生内容变化；规范化代码相似度 93%,androidAppMain,时间表示,git=M; blob 934b78aec85f→fab789cdc51a; sha256 f6889ba32a3e→c8e47977e73e,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0105,app,通用业务,原路径修改,app/src/main/java/me/rerere/rikkahub/service/ConversationSession.kt,app/src/main/java/me/rerere/rikkahub/service/ConversationSession.kt,M,10,8,91%,Android/SLF4J→Kermit,Android 平台实现发生内容变化；规范化代码相似度 91%,androidAppMain,无直接持久化标记,git=M; blob ea72cb3111fb→fd4ef9e3504f; sha256 0baac0948e13→e2a41ab59e53,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0106,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/service/WebServerService.kt,app/src/main/java/me/rerere/rikkahub/service/WebServerService.kt,M,1,1,100%,Android/SLF4J→Kermit,Android 平台实现发生内容变化；规范化代码相似度 100%,androidAppMain,无直接持久化标记,git=M; blob ef868eb18b69→2a210f963b80; sha256 a03af9c5fe3e→e0f890b0889c,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0107,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/activity/SafeModeActivity.kt,app/src/main/java/me/rerere/rikkahub/ui/activity/SafeModeActivity.kt,M,12,12,95%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 95%,androidAppMain,无直接持久化标记,git=M; blob 358050a9aaa9→36da94fa7d15; sha256 7511328b2527→9eb7464c1fd0,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0108,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/activity/ShortcutHandlerActivity.kt,app/src/main/java/me/rerere/rikkahub/ui/activity/ShortcutHandlerActivity.kt,M,1,2,97%,imports: me.rerere.rikkahub → —,Android 平台实现发生内容变化；规范化代码相似度 97%,androidAppMain,无直接持久化标记,git=M; blob 5979d13b62cf→2d6a62db7275; sha256 37e2fce4f737→ff0c93a56330,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0109,app,依赖注入,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/components/ai/AndroidAttachmentChips.kt,A,29,0,—,"imports: — → androidx.compose.runtime,androidx.core.net,me.rerere.rikkahub,org.koin.compose",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→86c98d8f0fec; sha256 —→a1c7d0290012,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0110,app,共享UI,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/components/ai/AndroidChatInputPlatformContent.kt,A,166,0,—,"imports: — → androidx.compose.animation,androidx.compose.foundation,androidx.compose.runtime,androidx.compose.ui",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→60b76aa31642; sha256 —→37381bfc5d2b,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0111,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ai/AsrButton.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ai/AsrButton.kt,M,4,4,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 99%,androidAppMain,无直接持久化标记,git=M; blob 86a484311bf7→7875cc16d2fb; sha256 f5d432df4e18→3871f569e841,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0112,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ai/CompressContextDialog.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ai/CompressContextDialog.kt,M,13,13,91%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 91%,androidAppMain,无直接持久化标记,git=M; blob f86d4cdd6d9a→d84cd3bbb9c1; sha256 3b76c812f6c5→695229d51b89,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0113,app,文件与图片,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ai/CropLauncher.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ai/CropLauncher.kt,M,26,53,46%,"imports: android.content.Intent,android.graphics.Bitmap,androidx.activity.compose,androidx.activity.result → io.github.vinceglb,me.rerere.common,me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 46%,androidAppMain,无直接持久化标记,git=M; blob c797a0cf3af8→37aeb259e3b3; sha256 193dc22e1f79→f04718ba6391,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0114,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ai/FilesPicker.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ai/FilesPicker.kt,M,18,18,96%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 96%,androidAppMain,无直接持久化标记,git=M; blob 98539cac0874→ab39140ffa27; sha256 5be2d17d1a9a→880451e564fe,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0115,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ai/WorkspaceCwdPicker.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ai/WorkspaceCwdPicker.kt,M,8,8,96%,"imports: androidx.compose.ui,java.util.concurrent,me.rerere.rikkahub → kotlinx.coroutines.CancellationException,me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 96%,androidAppMain,无直接持久化标记,git=M; blob e733a84a3bc4→d0ed4f849919; sha256 a6df0734c6e0→0aa5ef29eb07,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0116,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ai/WorkspaceSelectSheet.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ai/WorkspaceSelectSheet.kt,M,5,5,98%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 98%,androidAppMain,无直接持久化标记,git=M; blob b4633c26d94d→54116d70dbac; sha256 7095e46f9d2a→c368d461c375,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0117,app,聊天,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/components/message/AndroidChatMessagePlatformActions.kt,A,53,0,—,"imports: — → android.content.Context,android.content.Intent,androidx.compose.material3,androidx.compose.runtime",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→fd3daedb9177; sha256 —→09b2a930b144,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0118,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/message/ChatMessageEditedFiles.kt,app/src/main/java/me/rerere/rikkahub/ui/components/message/ChatMessageEditedFiles.kt,M,4,4,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 99%,androidAppMain,JSON/DTO,git=M; blob 4722f76634a5→cae83baee1e0; sha256 9599f9c54ea8→5a01401c9ee2,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0119,app,共享UI,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/components/richtext/AndroidRichTextPlatformProvider.kt,A,93,0,—,"imports: — → android.net.Uri,androidx.activity.compose,androidx.activity.result,androidx.compose.foundation",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→5b935218b627; sha256 —→f499be7cdff4,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0120,app,共享UI,删除且未由Git配对,app/src/main/java/me/rerere/rikkahub/ui/components/richtext/LatexText.kt,—,D,0,157,—,"imports: android.graphics.Rect,androidx.compose.foundation,androidx.compose.material3,androidx.compose.runtime → —",旧 Android 文件删除；必须确认替代调用与失败/取消语义,androidAppMain,无直接持久化标记,git=D; blob bd3c0936e1be→—; sha256 16f1bfb3e4ab→—,中,由 composeApp/commonMain 的 RaTeX LatexText 替代,待人工确认静态结论,待审核
CMP-0121,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/richtext/Mermaid.kt,app/src/main/java/me/rerere/rikkahub/ui/components/richtext/Mermaid.kt,M,7,4,99%,"imports: android.util.Base64,androidx.compose.ui → kotlin.io.encoding,me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 99%,androidAppMain,无直接持久化标记,git=M; blob 9b14f1408675→94fd3fd0e2b8; sha256 f93be4643234→636f4d41b1e2,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0122,app,文件与图片,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ui/BitmapComposer.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ui/BitmapComposer.kt,M,0,3,99%,imports: androidx.compose.runtime → —,Android 平台实现发生内容变化；规范化代码相似度 99%,androidAppMain；actual实现,无直接持久化标记,git=M; blob 32f03a846787→7afb5ef16ec9; sha256 c17142dc24ac→a6bf206310da,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0123,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ui/Emoji.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ui/Emoji.kt,M,4,4,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 99%,androidAppMain,无直接持久化标记,git=M; blob bc811dff1b0a→898c2d0a1748; sha256 000059e23ed7→ba48fe2a2619,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0124,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ui/ErrorCard.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ui/ErrorCard.kt,M,7,7,97%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 97%,androidAppMain,无直接持久化标记,git=M; blob bd2950ad1e8e→22d5e12ce987; sha256 621a27bfbf12→4323efaa0c3b,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0125,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ui/ExtensionSelector.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ui/ExtensionSelector.kt,M,23,17,91%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 91%,androidAppMain,无直接持久化标记,git=M; blob 6b188d3a5c86→cf35559cc6f4; sha256 8c44a68b1ece→c16c63bf75fe,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0126,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ui/TextArea.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ui/TextArea.kt,M,5,4,98%,imports: androidx.compose.ui → me.rerere.rikkahub,Android 平台实现发生内容变化；规范化代码相似度 98%,androidAppMain,无直接持久化标记,git=M; blob d7f176a2294a→0c3b5f02de7b; sha256 15b33fe145f1→6f2253e43ce1,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0127,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/ui/UpdateCard.kt,app/src/main/java/me/rerere/rikkahub/ui/components/ui/UpdateCard.kt,M,11,10,95%,"imports: androidx.compose.ui,kotlin.time.toJavaInstant,me.rerere.rikkahub → me.rerere.rikkahub",Android 平台实现发生内容变化；规范化代码相似度 95%,androidAppMain,时间表示,git=M; blob adea47cda0a6→97c70673550a; sha256 6d4fa04f495c→9d21955b6d26,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0128,app,共享UI,删除且未由Git配对,app/src/main/java/me/rerere/rikkahub/ui/components/ui/permission/README.md,—,D,0,222,—,无可见 import 变化,旧 Android 文件删除；必须确认替代调用与失败/取消语义,androidAppMain,无直接持久化标记,git=D; blob 922c171039a4→—; sha256 b034600676d6→—,高,说明文档删除，需确认信息是否已并入迁移文档,待迁移前后行为验证,待审核
CMP-0129,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/webview/WebView.kt,app/src/main/java/me/rerere/rikkahub/ui/components/webview/WebView.kt,M,1,1,100%,Android/SLF4J→Kermit,Android 平台实现发生内容变化；规范化代码相似度 100%,androidAppMain,无直接持久化标记,git=M; blob 1fd98c716b35→26992bdc62f9; sha256 ccc9428ff1a5→4f466b20a7d6,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0130,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/components/webview/WebViewContentCache.kt,app/src/main/java/me/rerere/rikkahub/ui/components/webview/WebViewContentCache.kt,M,18,9,78%,"imports: java.util.concurrent → kotlin.time.Clock,kotlin.time.Duration",Android 平台实现发生内容变化；规范化代码相似度 78%,androidAppMain,时间表示,git=M; blob db92532a76be→e1bbe686f22f; sha256 cca45e7d265d→17159dcf0cea,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0131,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/hooks/ASR.kt,app/src/main/java/me/rerere/rikkahub/ui/hooks/ASR.kt,M,12,9,90%,OkHttp业务API→Ktor,Android 平台实现发生内容变化；规范化代码相似度 90%,androidAppMain；接口注入候选,无直接持久化标记,git=M; blob 1f45ed8006e4→3b79db08d7cd; sha256 3e86c1b5f220→20133f0f5793,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0132,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/hooks/Debounce.kt,app/src/main/java/me/rerere/rikkahub/ui/hooks/Debounce.kt,M,5,3,94%,imports: java.util.concurrent → kotlin.concurrent.atomics,Android 平台实现发生内容变化；规范化代码相似度 94%,androidAppMain,无直接持久化标记,git=M; blob 3c7c70f2aaa4→e5406d099131; sha256 08dd839ed33e→b3fac3379f5c,低,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0133,app,共享UI,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/hooks/SharedPreferences.kt,app/src/main/java/me/rerere/rikkahub/ui/hooks/SharedPreferences.kt,M,0,27,86%,无可见 import 变化,Android 平台实现发生内容变化；规范化代码相似度 86%,androidAppMain,DataStore兼容,git=M; blob 2991f54707db→e14f687b43cf; sha256 ece4a94da5d5→39df3ba52d97,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0134,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/hooks/TTS.kt,app/src/main/java/me/rerere/rikkahub/ui/hooks/TTS.kt,M,10,54,86%,Android/SLF4J→Kermit,Android 平台实现发生内容变化；规范化代码相似度 86%,androidAppMain,无直接持久化标记,git=M; blob 42d6a3d2d8d7→6ac9d1d7786f; sha256 6b6fe7ce313a→2bb9c4b362bb,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0135,app,网络与SSE,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/AndroidAssistantAssetCleaner.kt,A,21,0,—,"imports: — → androidx.core.net,me.rerere.rikkahub",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→c1b48b930c90; sha256 —→f8d663e8f609,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0136,app,助手,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/AndroidAssistantSkillCatalog.kt,A,19,0,—,"imports: — → kotlinx.coroutines.Dispatchers,kotlinx.coroutines.withContext,me.rerere.rikkahub",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→a08d7fd6ecc8; sha256 —→3d3fc06c9c0f,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0137,app,助手,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/detail/AndroidAssistantPromptPreviewRuntime.kt,A,28,0,—,"imports: — → android.content.Context,me.rerere.ai,me.rerere.rikkahub",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→2281d68f6b89; sha256 —→58c463b591db,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0138,app,依赖注入,删除且未由Git配对,app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/detail/AssistantImporter.kt,—,D,0,291,—,"imports: android.content.Context,android.net.Uri,android.util.Base64,androidx.activity.compose → —",旧 Android 文件删除；必须确认替代调用与失败/取消语义,androidAppMain；接口注入候选,JSON/DTO,git=D; blob 7cbff95bda89→—; sha256 4d43762edfe5→—,高,由 composeApp/commonMain 的 AssistantImporter 与平台文件边界替代,待迁移前后行为验证,待审核
CMP-0139,app,备份同步与归档,删除且未由Git配对,app/src/main/java/me/rerere/rikkahub/ui/pages/backup/BackupVM.kt,—,D,0,214,—,"imports: android.util.Log,androidx.lifecycle.ViewModel,androidx.lifecycle.viewModelScope,java.io.File → —",旧 Android 文件删除；必须确认替代调用与失败/取消语义,androidAppMain,无直接持久化标记,git=D; blob e41ce30d27f1→—; sha256 5b0e679880ad→—,高,由 composeApp/commonMain 的 BackupVM 替代,待迁移前后行为验证,待审核
CMP-0140,app,依赖注入,新增实现/资源,—,app/src/main/java/me/rerere/rikkahub/ui/pages/chat/AndroidChatPagePlatformContent.kt,A,366,0,—,"imports: — → android.net.Uri,androidx.activity.compose,androidx.activity.result,androidx.compose.material3",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidAppMain,无直接持久化标记,git=A; blob —→30ce868be9a2; sha256 —→2c725e27a98e,高,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待迁移前后行为验证,待审核
CMP-0141,app,聊天,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/pages/chat/Export.kt,app/src/main/java/me/rerere/rikkahub/ui/pages/chat/Export.kt,M,29,26,96%,java.time→Kotlin time/datetime,Android 平台实现发生内容变化；规范化代码相似度 96%,androidAppMain,序列化契约、时间表示、JSON/DTO,git=M; blob 19ea1cb0cdf8→cc9e6a0561f5; sha256 90c18f674efe→0e01c4661ae7,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0142,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/pages/debug/DebugPage.kt,app/src/main/java/me/rerere/rikkahub/ui/pages/debug/DebugPage.kt,M,1,2,100%,"imports: me.rerere.common,org.koin.androidx → org.koin.compose",Android 平台实现发生内容变化；规范化代码相似度 100%,androidAppMain,无直接持久化标记,git=M; blob 4a0d16037af0→630ddbc1d9b3; sha256 5f8d3585f124→335506009a8f,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0143,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/pages/extensions/workspace/WorkspaceDetailPage.kt,app/src/main/java/me/rerere/rikkahub/ui/pages/extensions/workspace/WorkspaceDetailPage.kt,M,46,45,94%,"imports: androidx.compose.ui,me.rerere.rikkahub,org.koin.androidx → me.rerere.rikkahub,org.koin.compose",Android 平台实现发生内容变化；规范化代码相似度 94%,androidAppMain,无直接持久化标记,git=M; blob 3e47d4dbb248→47c048ce2448; sha256 895b817f68a4→00fa46d1ba3a,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0144,app,依赖注入,原路径修改,app/src/main/java/me/rerere/rikkahub/ui/pages/extensions/workspace/WorkspacePage.kt,app/src/main/java/me/rerere/rikkahub/ui/pages/extensions/workspace/WorkspacePage.kt,M,18,18,94%,"imports: androidx.compose.ui,me.rerere.rikkahub,org.koin.androidx → me.rerere.rikkahub,org.koin.compose",Android 平台实现发生内容变化；规范化代码相似度 94%,androidAppMain,无直接持久化标记,git=M; blob f5fe5aa9c74b→94e9bce77adc; sha256 22ec09b65cca→a4e48b61752a,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
